storm_id,domain_mean_mm,domain_max_mm,n_bands,file
sample_0001,306.66,1324.55,72,sample_0001__scenario_Morales_Guatemala_WRF_Box_rlz1year10000storm5.tif
sample_0002,21.84,318.82,72,sample_0002__scenario_Morales_Guatemala_WRF_Box_rlz1year2646storm5.tif
sample_0003,23.37,196.11,72,sample_0003__scenario_Morales_Guatemala_WRF_Box_rlz1year2666storm5.tif
sample_0004,31.84,183.69,72,sample_0004__scenario_Morales_Guatemala_WRF_Box_rlz1year2786storm5.tif
sample_0005,33.58,222.0,72,sample_0005__scenario_Morales_Guatemala_WRF_Box_rlz1year2818storm5.tif
sample_0006,39.24,246.48,72,sample_0006__scenario_Morales_Guatemala_WRF_Box_rlz1year2941storm5.tif
sample_0007,47.96,368.31,72,sample_0007__scenario_Morales_Guatemala_WRF_Box_rlz1year3294storm5.tif
sample_0008,49.91,509.8,72,sample_0008__scenario_Morales_Guatemala_WRF_Box_rlz1year3395storm5.tif
sample_0009,49.61,277.64,72,sample_0009__scenario_Morales_Guatemala_WRF_Box_rlz1year3397storm5.tif
sample_0010,52.63,277.98,72,sample_0010__scenario_Morales_Guatemala_WRF_Box_rlz1year3770storm4.tif
sample_0011,55.88,318.82,72,sample_0011__scenario_Morales_Guatemala_WRF_Box_rlz1year3878storm5.tif
sample_0012,59.27,507.13,72,sample_0012__scenario_Morales_Guatemala_WRF_Box_rlz1year4083storm5.tif
sample_0013,67.03,364.36,72,sample_0013__scenario_Morales_Guatemala_WRF_Box_rlz1year4714storm5.tif
sample_0014,40.8,264.14,72,sample_0014__scenario_Morales_Guatemala_WRF_Box_rlz1year5238storm4.tif
sample_0015,38.95,264.9,72,sample_0015__scenario_Morales_Guatemala_WRF_Box_rlz1year5370storm3.tif
sample_0016,59.36,364.36,72,sample_0016__scenario_Morales_Guatemala_WRF_Box_rlz1year5423storm4.tif
sample_0017,74.89,408.38,72,sample_0017__scenario_Morales_Guatemala_WRF_Box_rlz1year5451storm4.tif
sample_0018,76.34,348.61,72,sample_0018__scenario_Morales_Guatemala_WRF_Box_rlz1year5476storm5.tif
sample_0019,80.46,598.47,72,sample_0019__scenario_Morales_Guatemala_WRF_Box_rlz1year5686storm5.tif
