storm_id,magnitude_mm_aoc_mean,domain_mean_mm,domain_max_mm,file
sample_0001,1042.66,880.92,1324.55,sample_0001__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year10000storm5.tif
sample_0002,4.39,5.48,20.19,sample_0002__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year2737storm5.tif
sample_0003,0.0,0.0,0.0,sample_0003__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year2949storm4.tif
sample_0004,0.73,0.72,3.51,sample_0004__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year3239storm4.tif
sample_0005,30.32,38.06,98.52,sample_0005__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year3971storm5.tif
sample_0006,1.61,12.94,59.11,sample_0006__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year4478storm4.tif
sample_0007,24.11,51.82,135.26,sample_0007__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year4579storm5.tif
sample_0008,40.54,52.11,118.25,sample_0008__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year4817storm4.tif
sample_0009,73.94,61.38,208.75,sample_0009__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year5265storm5.tif
sample_0010,76.77,65.07,176.3,sample_0010__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year5432storm5.tif
sample_0011,76.02,44.09,143.77,sample_0011__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year5937storm3.tif
sample_0012,41.7,54.33,144.5,sample_0012__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year5979storm4.tif
sample_0013,41.67,34.58,162.2,sample_0013__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6169storm4.tif
sample_0014,105.16,79.56,286.28,sample_0014__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6172storm5.tif
sample_0015,30.72,25.36,80.87,sample_0015__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6258storm3.tif
sample_0016,57.2,88.18,331.58,sample_0016__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6480storm5.tif
sample_0017,10.86,26.58,91.48,sample_0017__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6531storm3.tif
sample_0018,2.91,2.98,23.18,sample_0018__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6691storm4.tif
sample_0019,25.97,17.87,80.69,sample_0019__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6713storm2.tif
sample_0020,34.79,41.2,95.6,sample_0020__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6786storm3.tif
sample_0021,133.72,101.13,185.81,sample_0021__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6923storm5.tif
sample_0022,20.61,19.04,78.27,sample_0022__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year6924storm3.tif
sample_0023,16.7,30.18,111.54,sample_0023__scenario_Santa_Ines_Petape_Guatemala_WRF_Box_rlz1year7359storm4.tif
